,name,type,System ,Line ,Angle,Head Rotation
0,T1,E LOCK SINGLE O-RING,Type 6,Tube 8x10 or 3/8in,STRAIGHT,
1,T2,E LOCK SINGLE O-RING,Type 6,Tube 8x10 or 3/8in,90Åã,
2,GA9,VDA,NW6,Tube 8x10 or 3/8in,STRAIGHT,
3,GA6,VDA,NW6,Tube 8x10 or 3/8in,STRAIGHT,
4,GA11,VDA,NW6,Tube 8x10 or 3/8in,90Åã,
5,GA10,VDA,NW6,Tube 8x10 or 3/8in,41.5Åã,90Åã
6,GA13,END PIECE,NW6,Tube 6x8 or 5/16in,STRAIGHT,
7,GA2,VDA,NW6,Tube 6x8 or 5/16in,90Åã,
8,GA1,VDA,NW6,Tube 6x8 or 5/16in,41.5Åã,90Åã
9,GA8,VDA,NW6,Hose 6,90Åã,270Åã
10,GA4,VDA BALL VALVE,NW6,Hose 10,STRAIGHT,
11,GA7,VDA,NW6,Hose 10,STRAIGHT,
12,GA3,VDA,NW6,Hose 10,90Åã,
13,GA12,VDA BALL VALVE,NW6,Hose 10,90Åã,
14,GA5,VDA,NW6,Hose 10,41.5Åã,90Åã
15,W1,STEELOCK SINGLE O-RING,NW55,Hose 55,STRAIGHT,
16,OB16,VDA,NW32,Hose 32,65Åã,170Åã
17,OB2,VDA,NW32,Hose 32,STRAIGHT,
18,OB13,VDA BLEED SCREW,NW32,Hose 32,90Åã,
19,OB12,VDA,NW32,Hose 32,90Åã,180Åã
20,OB9,VDA,NW32,Hose 32,65Åã,
21,OB6,VDA,NW32,Hose 32,4 WAY,345Åã
22,OB5,VDA,NW32,Hose 32,41Åã,270Åã
23,OB7,VDA,NW32,Hose 32,3 WAY,200Åã
24,OB8,VDA,NW32,Hose 32,30Åã,90Åã
25,OB15,VDA,NW32,Hose 32,30Åã,165Åã
26,OB14,VDA,NW32,Hose 28,90Åã,60Åã
27,OB11,VDA,NW32,Hose 28,90Åã,180Åã
28,OB10,VDA,NW32,Hose 28,60Åã,180Åã
29,XP2,VDA,NW26,Tube 25x29,STRAIGHT,
30,XP4,VDA,NW26,Hose 26,60Åã,170Åã
31,XP5,VDA,NW26,Tube 25x29,90Åã,
32,XP3,VDA,NW26,Hose 32,60Åã,
33,XP1,VDA,NW26,Hose 26,STRAIGHT,
34,XP8,END PIECE,NW26,Tube 25x29,STRAIGHT,
35,XP7,END PIECE,NW26,Hose 26,STRAIGHT,
36,XA8,VDA,NW20,Tube 16x18 or 3/4in,STRAIGHT,
37,XA11,VDA,NW20,Tube 16x18 or 3/4in,90Åã,
38,XA12,VDA,NW20,Tube 16x18 or 3/4in,90Åã,270Åã
39,XA9,VDA,NW20,Tube 16x18 or 3/4in,45Åã,90Åã
40,XA10,VDA,NW20,Tube 16x18 or 3/4in,45Åã,270Åã
41,XA2,VDA,NW20,Hose 20,STRAIGHT,
42,XA13,VDA,NW20,Hose 20,90Åã,
43,XA3,VDA,NW20,Tube 16.5x18.5,STRAIGHT,
44,XA5,VDA,NW20,Tube 16.5x18.5,45Åã,
45,XA4,VDA,NW20,Tube 16.5x18.5,3 WAY,90Åã
46,XA6,VDA WITH MALE END FORM,NW20,Tube 16.5x18.5,3 WAY,270Åã
47,XA1,END PIECE,NW20,Hose 20,STRAIGHT,
48,XA7,END PIECE,NW20,Hose 20,STRAIGHT,
49,NB74,VDA,NW16,Tube 16x18 or 3/4in,STRAIGHT,
50,NB34,VDA,NW16,Tube 16x18 or 3/4in,90Åã,
51,NB77,VDA,NW16,Tube 16x18 or 3/4in,90Åã,180Åã
52,NB75,VDA,NW16,Tube 16x18 or 3/4in,45Åã,
53,NB78,VDA,NW16,Tube 16x18 or 3/4in,45Åã,90Åã
54,NB79,VDA,NW16,Tube 16x18 or 3/4in,45Åã,270Åã
55,NB76,VDA,NW16,Tube 16x18 or 3/4in,45Åã,180Åã
56,NB64,VDA,NW16,Tube 16.5x18.5,90Åã,90Åã
57,NB70,VDA,NW16,Tube 16.5x18.5,90Åã,225Åã
58,NB62,VDA,NW16,Tube 16.5x18.5,90Åã,130Åã
59,NB55,VDA,NW16,Tube 16.5x18.5,45Åã,60Åã
60,NB56,VDA,NW16,Tube 16.5x18.5,45Åã,140Åã
61,NB60,VDA,NW16,Tube 16.5x18.5,3 WAY,
62,NB59,VDA,NW16,Tube 16.5x18.5,37Åã,270Åã
63,NB66,VDA,NW16,Hose 19,STRAIGHT,
64,NB72,VDA TEMPERATURE SENSOR,NW16,Hose 19,STRAIGHT,
65,NB68,VDA,NW16,Hose 19,90Åã,
66,NB73,VDA TEMPERATURE SENSOR,NW16,Hose 19,55Åã,270Åã
67,NB67,VDA,NW16,Hose 19,45Åã,
68,NB69,VDA,NW16,Hose 19,3 WAY,180Åã
69,NB65,VDA TEMPERATURE SENSOR,NW16,Hose 19,30Åã,90Åã
70,NB1,VDA,NW16,Hose 16,STRAIGHT,
71,NB19,VDA,NW16,Hose 16,90Åã,
72,NB63,VDA,NW16,Hose 16,90Åã,15Åã
73,NB61,VDA BALL VALVE,NW16,Hose 16,90Åã,
74,NB71,VDA TEMPERATURE SENSOR,NW16,Hose 16,45Åã,
75,NB8,VDA,NW16,Hose 16,45Åã,
76,NB57,VDA,NW16,Hose 16,45Åã,90Åã
77,NB7,VDA,NW16,Hose 16,45Åã,180Åã
78,NB51,VDA,NW16,Hose 12,STRAIGHT,
79,NB14,VDA,NW16,Tube 16.5x18.5,STRAIGHT,
80,NB18,VDA,NW16,Tube 16.5x18.5,90Åã,
81,NB24,VDA,NW16,Tube 16.5x18.5,90Åã,
82,NB49,VDA,NW16,Tube 16.5x18.5,90Åã,270Åã
83,NB46,VDA,NW16,Tube 16.5x18.5,45Åã,
84,NB35,VDA,NW16,Tube 16x18 or 3/4in,55Åã,240Åã
85,NB48,END PIECE THREADED,NW16,M20x1.5,STRAIGHT,
86,NB32,VDA,NW16,Hose 8,3 WAY,270Åã
87,NB26,VDA,NW16,Hose 22,3 WAY,315Åã
88,NB16,VDA,NW16,Hose 20,90Åã,
89,NB47,VDA,NW16,Hose 20,4 WAY,90Åã
90,NB45,VDA,NW16,Hose 20,3 WAY,270Åã
91,NB17,VDA,NW16,Hose 20,3 WAY,180Åã
92,NB44,VDA,NW16,Hose 20,3 WAY,135Åã
93,NB2,VDA ANTI TWIST,NW16,Hose 18,STRAIGHT,
94,NB4,VDA ANTI TWIST,NW16,Hose 18,90Åã,270Åã
95,NB5,VDA,NW16,Hose 18,90Åã,270Åã
96,NB3,VDA,NW16,Hose 18,45Åã,270Åã
97,NB38,VDA BLEED SCREW,NW16,Hose 16,STRAIGHT,
98,NB12,VDA,NW16,Hose 16,90Åã,90Åã
99,NB25,VDA,NW16,Hose 16,90Åã,270Åã
100,NB41,VDA,NW16,Hose 16,90Åã,162Åã
101,NB40,VDA BLEED SCREW,NW16,Hose 16,90Åã,116.5Åã
102,NB28,VDA,NW16,Hose 16,80Åã,312Åã
103,NB10,VDA,NW16,Hose 16,75Åã,90Åã
104,NB58,VDA,NW16,Hose 16,45Åã,45Åã
105,NB27,VDA,NW16,Hose 16,45Åã,140Åã
106,NB39,VDA,NW16,Hose 16,3 WAY,90Åã
107,NB50,VDA,NW16,Hose 16,3 WAY,327Åã
108,NB21,VDA,NW16,Hose 16,3 WAY,270Åã
109,NB23,VDA,NW16,Hose 16,3 WAY,270Åã
110,NB43,VDA WITH MALE END FORM,NW16,Hose 16,3 WAY,270Åã
111,NB31,VDA BLEED SCREW,NW16,Hose 16,3 WAY,246Åã
112,NB42,VDA,NW16,Hose 16,35Åã,270Åã
113,NB36,VDA,NW16,Hose 12,45Åã,
114,NB37,VDA,NW16,Hose 12,3 WAY,187Åã
115,NB30,VDA,NW16,Hose 12,15Åã,140Åã
116,NB54,END PIECE,NW16,Tube 16.5x18.5,STRAIGHT,
117,NB53,END PIECE,NW16,Tube 16.5x18.5,3 WAY,
118,NB29,END PIECE,NW16,Tube 16x18 or 3/4in,STRAIGHT,
119,NB20,END PIECE,NW16,Hose 16,STRAIGHT,
120,NB52,END PIECE,NW16,Hose 16,STRAIGHT,
121,NB13,END PIECE,NW16,,3 WAY,
122,MA8,VDA,NW14 (17.50),Tube 16x18 or 3/4in,STRAIGHT,
123,MA11,VDA,NW14 (17.50),Tube 16x18 or 3/4in,90Åã,
124,MA12,VDA,NW14 (17.50),Tube 16x18 or 3/4in,90Åã,90Åã
125,MA10,VDA,NW14 (17.50),Tube 16x18 or 3/4in,90Åã,180Åã
126,MA13,VDA,NW14 (17.50),Tube 16x18 or 3/4in,90Åã,110Åã
127,MA9,VDA,NW14 (17.50),Tube 16x18 or 3/4in,45Åã,90Åã
128,MA5,VDA,NW14 (17.50),Hose 20,90Åã,
129,MA1,VDA,NW14 (17.50),Tube 14x16 or 5/8in,STRAIGHT,
130,MA3,VDA,NW14 (17.50),Tube 14x16 or 5/8in,90Åã,
131,MA6,END PIECE THREADED,NW14 (17.50),M18x1.5,STRAIGHT,
132,MA2,VDA,NW14 (17.50),Hose 15,STRAIGHT,
133,MA7,END PIECE,NW14 (17.50),Tube 16x18 or 3/4in,STRAIGHT,
134,JA29,VDA,NW12,Tube 16x18 or 3/4in,STRAIGHT,
135,JA30,VDA,NW12,Tube 16x18 or 3/4in,45Åã,270Åã
136,JA20,VDA,NW12,Tube 16.5x18.5,STRAIGHT,
137,JA21,VDA,NW12,Tube 16.5x18.5,90Åã,90Åã
138,JA23,VDA,NW12,Tube 14x16 or 5/8in,90Åã,
139,JA24,VDA,NW12,Tube 14x16 or 5/8in,3 WAY,90Åã
140,JA26,VDA,NW12,Hose 16,STRAIGHT,
141,JA2,VDA,NW12,Hose 12,STRAIGHT,
142,JA7,VDA,NW12,Hose 12,45Åã,
143,JA9,VDA,NW12,Tube 12x14 or 1/2in,STRAIGHT,
144,JA10,VDA,NW12,Tube 12x14 or 1/2in,90Åã,
145,JA11,VDA,NW12,Tube 12x14 or 1/2in,45Åã,
146,JA22,END PIECE THREADED,NW12,M18x1.5,STRAIGHT,
147,JA28,END PIECE,NW12,Hose 12,STRAIGHT,
148,JA5,VDA,NW12,Hose 12,90Åã,
149,JA14,VDA,NW12,Hose 12,90Åã,97Åã
150,JA8,VDA,NW12,Hose 12,90Åã,90Åã
151,JA4,VDA,NW12,Hose 12,90Åã,270Åã
152,JA13,VDA,NW12,Hose 12,90Åã,180Åã
153,JA6,VDA,NW12,Hose 12,90Åã,126.5Åã
154,JA12,VDA,NW12,Hose 12,90Åã,105Åã
155,JA15,VDA,NW12,Hose 12,70Åã,
156,JA16,VDA,NW12,Hose 12,60Åã,315Åã
157,JA25,VDA,NW12,Hose 12,45Åã,180Åã
158,JA18,VDA,NW12,Hose 12,40Åã,305Åã
159,JA17,VDA,NW12,Hose 12,40Åã,270Åã
160,JA19,VDA,NW12,Hose 12,20Åã,270Åã
161,JA27,VDA END CAP,NW12,,,
162,P8,E LOCK,DN6,Tube 8x10 or 3/8in,STRAIGHT,
163,P1,E LOCK SINGLE O-RING,DN6,Tube 4x6 or 6x8,STRAIGHT,
164,P2,E LOCK SINGLE O-RING,DN6,Tube 4x6 or 6x8,90Åã,
